status,config_key,units,optimizer,learning_rate,dropout,l2,batch_size,epochs_run,best_epoch,training_seconds,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,error
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.001, ""optimizer"": ""RMSprop"", ""units"": [384, 192, 96]}",384-192-96,RMSprop,0.001,0.3,1e-05,512,80,68,93.41755330003798,0.8586188719030048,0.8192139737991266,0.7962648556876061,0.8075764098148945,0.9370393311553883,
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.0005, ""optimizer"": ""RMSprop"", ""units"": [384, 192, 96]}",384-192-96,RMSprop,0.0005,0.3,1e-05,512,111,99,129.24355260003358,0.8613073273589879,0.8295944139058089,0.7900396151669496,0.8093340097108486,0.9374488548575868,
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.01, ""optimizer"": ""SGD"", ""units"": [384, 192, 96]}",384-192-96,SGD,0.01,0.3,1e-05,512,150,148,166.66772569995373,0.8575645756457565,0.8213129231675007,0.7894736842105263,0.8050786322320012,0.9360674902383804,
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.005, ""optimizer"": ""SGD"", ""units"": [384, 192, 96]}",384-192-96,SGD,0.005,0.3,1e-05,512,150,150,165.90470300009474,0.8557195571955719,0.8203876313064062,0.7845217883418223,0.8020539524119477,0.9339210763110962,
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.001, ""optimizer"": ""Adam"", ""units"": [512, 256, 128]}",512-256-128,Adam,0.001,0.3,1e-05,512,47,35,70.83676559990272,0.8570901423299947,0.8058402358556788,0.812110922467459,0.8089634275244874,0.9370444902470343,
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.0005, ""optimizer"": ""Adam"", ""units"": [512, 256, 128]}",512-256-128,Adam,0.0005,0.3,1e-05,512,48,36,70.64726130012423,0.8583025830258303,0.810374149659864,0.8089983022071308,0.8096856414613424,0.9366821591573592,
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.001, ""optimizer"": ""AdamW"", ""units"": [512, 256, 128]}",512-256-128,AdamW,0.001,0.3,1e-05,512,47,35,71.08179750014096,0.8570901423299947,0.8058402358556788,0.812110922467459,0.8089634275244874,0.9370444902470343,
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.0005, ""optimizer"": ""AdamW"", ""units"": [512, 256, 128]}",512-256-128,AdamW,0.0005,0.3,1e-05,512,48,36,71.75774170015939,0.8583025830258303,0.810374149659864,0.8089983022071308,0.8096856414613424,0.9366821591573592,
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.001, ""optimizer"": ""Nadam"", ""units"": [512, 256, 128]}",512-256-128,Nadam,0.001,0.3,1e-05,512,46,34,69.65024700015783,0.8562467053241961,0.8012491325468425,0.8167798528579513,0.8089399565613395,0.9371059832910098,
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.0005, ""optimizer"": ""Nadam"", ""units"": [512, 256, 128]}",512-256-128,Nadam,0.0005,0.3,1e-05,512,58,46,88.77423290000297,0.8571428571428571,0.8058674901740596,0.8122524052065648,0.8090473506200676,0.9368350715430497,
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.001, ""optimizer"": ""RMSprop"", ""units"": [512, 256, 128]}",512-256-128,RMSprop,0.001,0.3,1e-05,512,66,54,98.9826074000448,0.857880864522931,0.8100709219858157,0.80800792303339,0.8090381073806489,0.9367564607756401,
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.0005, ""optimizer"": ""RMSprop"", ""units"": [512, 256, 128]}",512-256-128,RMSprop,0.0005,0.3,1e-05,512,77,65,109.34364809980616,0.8581971534001054,0.8137002006305531,0.8033389926428975,0.8084864018225829,0.9368929092398333,
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.01, ""optimizer"": ""SGD"", ""units"": [512, 256, 128]}",512-256-128,SGD,0.01,0.3,1e-05,512,150,147,226.53979969979264,0.8591987348444913,0.8213711445695073,0.7949915110356537,0.8079660651376807,0.9379857748389817,
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.005, ""optimizer"": ""SGD"", ""units"": [512, 256, 128]}",512-256-128,SGD,0.005,0.3,1e-05,512,150,149,209.922142499825,0.8566684238270954,0.8194505655942412,0.7891907187323146,0.804036036036036,0.9349552602145972,
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.001, ""optimizer"": ""Adam"", ""units"": [512, 256, 128, 64]}",512-256-128-64,Adam,0.001,0.3,1e-05,512,43,31,71.56465790001675,0.8558249868212968,0.8018670753796852,0.8142331635540464,0.808002808002808,0.9363920434634212,
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.0005, ""optimizer"": ""Adam"", ""units"": [512, 256, 128, 64]}",512-256-128-64,Adam,0.0005,0.3,1e-05,512,62,50,98.46308120014146,0.8564048497627833,0.7989265070189926,0.8213073005093379,0.8099623273336124,0.936516842365833,
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.001, ""optimizer"": ""AdamW"", ""units"": [512, 256, 128, 64]}",512-256-128-64,AdamW,0.001,0.3,1e-05,512,43,31,73.70236049988307,0.8558249868212968,0.8018670753796852,0.8142331635540464,0.808002808002808,0.9363920434634212,
