status,config_key,units,dropout,l2,learning_rate,batch_size,batch_norm,epochs_run,best_epoch,training_seconds,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,error,source,optimizer,activation,model_key
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.01, ""optimizer"": ""SGD"", ""units"": [512, 256, 128]}",512-256-128,0.3,1e-05,0.01,512,False,150,147,226.53979969979264,0.8591987348444913,0.8213711445695073,0.7949915110356537,0.8079660651376807,0.9379857748389816,,Focused Search,SGD,relu,512-256-128|SGD|lr=0.01|dropout=0.3|l2=1e-05|batch=512|bn=False
ok,"{""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.001, ""units"": [256, 128, 64]}",256-128-64,0.3,1e-05,0.001,512,False,64,56,49.46250450005755,0.8597258829731155,0.829126213592233,0.7853706847764572,0.8066555256848071,0.9377959583057904,,Broad Search,Adam,relu,256-128-64|Adam|lr=0.001|dropout=0.3|l2=1e-05|batch=512|bn=False
ok,"{""batch_norm"": true, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 0.0001, ""learning_rate"": 0.0005, ""units"": [256, 128, 64]}",256-128-64,0.3,0.0001,0.0005,512,True,80,80,83.18040880002081,0.8583552978386927,0.8105770594073444,0.8088568194680249,0.8097160257772112,0.9377316420261792,,Broad Search,Adam,relu,256-128-64|Adam|lr=0.0005|dropout=0.3|l2=0.0001|batch=512|bn=True
ok,"{""batch_norm"": true, ""batch_size"": 256, ""dropout"": 0.4, ""l2"": 1e-05, ""learning_rate"": 0.0005, ""units"": [256, 128, 64]}",256-128-64,0.4,1e-05,0.0005,256,True,80,76,129.97090819990262,0.8585661570901423,0.8104205012034547,0.8098471986417657,0.810133748496214,0.937695011286761,,Broad Search,Adam,relu,256-128-64|Adam|lr=0.0005|dropout=0.4|l2=1e-05|batch=256|bn=True
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.001, ""optimizer"": ""AdamW"", ""units"": [256, 128, 64]}",256-128-64,0.3,1e-05,0.001,512,False,67,55,69.52644490008242,0.8579335793357934,0.8227306273062731,0.7886247877758913,0.8053167665968359,0.9376639081455354,,Focused Search,AdamW,relu,256-128-64|AdamW|lr=0.001|dropout=0.3|l2=1e-05|batch=512|bn=False
ok,"{""batch_norm"": true, ""batch_size"": 512, ""dropout"": 0.4, ""l2"": 0.0005, ""learning_rate"": 0.0005, ""units"": [256, 128, 64]}",256-128-64,0.4,0.0005,0.0005,512,True,80,77,81.30643810005859,0.8575645756457565,0.8201818715165737,0.7911714770797963,0.8054155264294973,0.937566931487358,,Broad Search,Adam,relu,256-128-64|Adam|lr=0.0005|dropout=0.4|l2=0.0005|batch=512|bn=True
ok,"{""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.4, ""l2"": 0.0001, ""learning_rate"": 0.001, ""units"": [256, 128, 64]}",256-128-64,0.4,0.0001,0.001,512,False,79,71,63.48976879986003,0.8590405904059041,0.8263517528223411,0.7870684776457272,0.806231884057971,0.9375536711953504,,Broad Search,Adam,relu,256-128-64|Adam|lr=0.001|dropout=0.4|l2=0.0001|batch=512|bn=False
ok,"{""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.4, ""l2"": 0.0, ""learning_rate"": 0.001, ""units"": [256, 128, 64]}",256-128-64,0.4,0.0,0.001,512,False,76,68,56.22502140002325,0.8599894570374275,0.8303384246780473,0.7845217883418223,0.8067801542266841,0.9374835539094644,,Broad Search,Adam,relu,256-128-64|Adam|lr=0.001|dropout=0.4|l2=0.0|batch=512|bn=False
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.001, ""optimizer"": ""Nadam"", ""units"": [256, 128, 64]}",256-128-64,0.3,1e-05,0.001,512,False,56,44,59.57703009992838,0.8614654717975752,0.8286941071957359,0.7918788907753254,0.8098683258573289,0.937470899870162,,Focused Search,Nadam,relu,256-128-64|Nadam|lr=0.001|dropout=0.3|l2=1e-05|batch=512|bn=False
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.0005, ""optimizer"": ""RMSprop"", ""units"": [384, 192, 96]}",384-192-96,0.3,1e-05,0.0005,512,False,111,99,129.24355260003358,0.8613073273589879,0.8295944139058089,0.7900396151669496,0.8093340097108486,0.9374488548575868,,Focused Search,RMSprop,relu,384-192-96|RMSprop|lr=0.0005|dropout=0.3|l2=1e-05|batch=512|bn=False
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.001, ""optimizer"": ""RMSprop"", ""units"": [256, 128, 64]}",256-128-64,0.3,1e-05,0.001,512,False,138,126,126.74228420015424,0.8605693199789141,0.8267100014773231,0.7917374080362196,0.8088458480884585,0.9374429112036168,,Focused Search,RMSprop,relu,256-128-64|RMSprop|lr=0.001|dropout=0.3|l2=1e-05|batch=512|bn=False
ok,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.4, ""l2"": 0.0001, ""learning_rate"": 0.001, ""units"": [256, 128, 64]}",256-128-64,0.4,0.0001,0.001,128,False,67,59,132.78855409985408,0.8602003162888772,0.8220536756126021,0.7973967176004527,0.8095374892272336,0.9372501466180564,,Broad Search,Adam,relu,256-128-64|Adam|lr=0.001|dropout=0.4|l2=0.0001|batch=128|bn=False
ok,"{""batch_norm"": true, ""batch_size"": 512, ""dropout"": 0.4, ""l2"": 0.0, ""learning_rate"": 0.001, ""units"": [256, 128, 64, 32]}",256-128-64-32,0.4,0.0,0.001,512,True,69,61,73.51358889997937,0.8567211386399578,0.7972123531019404,0.8254102999434069,0.8110663144724037,0.937243578880419,,Broad Search,Adam,relu,256-128-64-32|Adam|lr=0.001|dropout=0.4|l2=0.0|batch=512|bn=True
ok,"{""batch_norm"": true, ""batch_size"": 128, ""dropout"": 0.3, ""l2"": 0.0001, ""learning_rate"": 0.00025, ""units"": [256, 128, 64, 32]}",256-128-64-32,0.3,0.0001,0.00025,128,True,75,67,217.47766419989057,0.8598840274117027,0.811089164785553,0.8133842671194115,0.8122350946595084,0.9372195308564558,,Broad Search,Adam,relu,256-128-64-32|Adam|lr=0.00025|dropout=0.3|l2=0.0001|batch=128|bn=True
ok,"{""batch_norm"": true, ""batch_size"": 128, ""dropout"": 0.4, ""l2"": 0.0005, ""learning_rate"": 0.00025, ""units"": [256, 128, 64, 32]}",256-128-64-32,0.4,0.0005,0.00025,128,True,76,68,187.8589971999172,0.8555086979441223,0.7956004918704741,0.8238539898132428,0.8094807812608605,0.937203560258238,,Broad Search,Adam,relu,256-128-64-32|Adam|lr=0.00025|dropout=0.4|l2=0.0005|batch=128|bn=True
ok,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.2, ""l2"": 0.0001, ""learning_rate"": 0.001, ""units"": [256, 128, 64, 32]}",256-128-64-32,0.2,0.0001,0.001,128,False,53,45,113.98273460008204,0.8583025830258303,0.8114334470989761,0.8073005093378608,0.8093617021276596,0.9371897650373732,,Broad Search,Adam,relu,256-128-64-32|Adam|lr=0.001|dropout=0.2|l2=0.0001|batch=128|bn=False
