epoch,accuracy,learning_rate,loss,precision,recall,roc_auc,val_accuracy,val_loss,val_precision,val_recall,val_roc_auc
0,0.7772213220596313,0.0010000000474974513,0.45307713747024536,0.7168529629707336,0.6645679473876953,0.8523337244987488,0.8219820857048035,0.37385323643684387,0.8170417547225952,0.6728919148445129,0.9025465250015259
1,0.8174964785575867,0.0010000000474974513,0.3783409893512726,0.7905871272087097,0.6939973831176758,0.8971648812294006,0.8319978713989258,0.3506404161453247,0.8151697516441345,0.710101842880249,0.9116639494895935
2,0.8263264894485474,0.0010000000474974513,0.36338743567466736,0.8008131980895996,0.7106221914291382,0.9051663875579834,0.8328413367271423,0.34486663341522217,0.7991709113121033,0.7364176511764526,0.914734959602356
3,0.8304251432418823,0.0010000000474974513,0.35430994629859924,0.8026326298713684,0.7225425243377686,0.9100877046585083,0.838007390499115,0.3392375707626343,0.8089714050292969,0.7399547100067139,0.9177989959716797
4,0.834168016910553,0.0010000000474974513,0.3480193316936493,0.807222306728363,0.729015588760376,0.9134010672569275,0.8391143679618835,0.33504557609558105,0.8042424321174622,0.7509903907775879,0.9199820756912231
5,0.8375418186187744,0.0010000000474974513,0.3420043885707855,0.8101945519447327,0.7365144491195679,0.916474461555481,0.8433315753936768,0.3311869502067566,0.8071385622024536,0.7614601254463196,0.9218288660049438
6,0.8392683267593384,0.0010000000474974513,0.338407427072525,0.8125121593475342,0.739167332649231,0.9184216260910034,0.8419609665870667,0.32949310541152954,0.8066606521606445,0.757357120513916,0.9228108525276184
7,0.8416800498962402,0.0010000000474974513,0.33521708846092224,0.814882218837738,0.74411940574646,0.9199666380882263,0.8437532782554626,0.3270038664340973,0.809036135673523,0.7600452899932861,0.9240735173225403
8,0.8435119390487671,0.0010000000474974513,0.3316456973552704,0.8165321946144104,0.7480810880661011,0.92190021276474,0.8441750407218933,0.32455989718437195,0.8088014125823975,0.7618845701217651,0.9252331256866455
9,0.8455020189285278,0.0010000000474974513,0.3287639021873474,0.8206976652145386,0.7489653825759888,0.9231534600257874,0.8440696001052856,0.32302331924438477,0.8101418614387512,0.7594793438911438,0.9260593056678772
10,0.8459896445274353,0.0010000000474974513,0.32574301958084106,0.8193230628967285,0.7526086568832397,0.9246147871017456,0.845440149307251,0.3201577067375183,0.814859926700592,0.7572156190872192,0.9273165464401245
11,0.8478347063064575,0.0010000000474974513,0.32409003376960754,0.8205865621566772,0.7571362853050232,0.925775408744812,0.8444913029670715,0.32111451029777527,0.8058526515960693,0.7675438523292542,0.9270024299621582
12,0.8480455279350281,0.0010000000474974513,0.3215613067150116,0.822128176689148,0.7556506395339966,0.9269071817398071,0.8455455899238586,0.31923094391822815,0.8164576292037964,0.7552348375320435,0.9275125861167908
13,0.8511426448822021,0.0010000000474974513,0.3183336853981018,0.8267883062362671,0.7596123218536377,0.9283081889152527,0.8474960327148438,0.31728696823120117,0.8162399530410767,0.7623090147972107,0.9284669160842896
14,0.8502200841903687,0.0010000000474974513,0.3190646469593048,0.8237953186035156,0.7607088685035706,0.9279460906982422,0.8469688892364502,0.3172750174999237,0.8089303970336914,0.7715053558349609,0.9285271763801575
15,0.8521969318389893,0.0010000000474974513,0.315930038690567,0.8248761892318726,0.7659085392951965,0.9297927021980286,0.8487612009048462,0.3163740634918213,0.817480742931366,0.764855682849884,0.928971529006958
16,0.8534753322601318,0.0010000000474974513,0.3147796094417572,0.8280861377716064,0.7656962871551514,0.9302429556846619,0.8476541638374329,0.3157914876937866,0.8113263845443726,0.7702320218086243,0.929101824760437
17,0.8538311719894409,0.0010000000474974513,0.31223559379577637,0.8259220123291016,0.7699763178825378,0.9313948154449463,0.8482340574264526,0.3149043023586273,0.8162463903427124,0.764855682849884,0.9296674728393555
18,0.8527636528015137,0.0010000000474974513,0.31271257996559143,0.8250142335891724,0.7676417827606201,0.9312083125114441,0.8480231761932373,0.31420788168907166,0.8119874596595764,0.7705150246620178,0.9300615787506104
