data_split,threshold,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
Validation,0.5,0.8483394833948339,0.8069430203603339,0.7794284097340124,0.7929471032745592,0.9276296056542503,10584,1318,1559,5509
Validation,0.579,0.8501845018450185,0.8479907773386034,0.728494623655914,0.7837138508371385,0.9276296056542503,10979,923,1919,5149
Common Test,0.5,0.8532388663967612,0.8133411351667642,0.7866440294284097,0.7997698504027618,0.9303316434529222,13282,1595,1885,6950
Common Test,0.579,0.8529858299595142,0.8560777526294767,0.7277872099603848,0.7867368163465068,0.9303316434529222,13796,1081,2405,6430
