epoch,accuracy,loss,precision,recall,roc_auc
1,0.7198886871337891,0.7422464489936829,0.6207494735717773,0.6379637122154236,0.7813512682914734
2,0.7879343628883362,0.6061205267906189,0.7566328644752502,0.6351056694984436,0.8540948629379272
3,0.8019462823867798,0.5634428262710571,0.7820870876312256,0.6493675708770752,0.8719043135643005
4,0.8102226853370667,0.5343104600906372,0.792898416519165,0.6641104817390442,0.8811363577842712
5,0.8143450617790222,0.5095919370651245,0.7977030277252197,0.6721752285957336,0.8877253532409668
6,0.8182565569877625,0.4907960593700409,0.8027429580688477,0.6790797710418701,0.8916938900947571
7,0.8204706311225891,0.4721468389034271,0.8020918965339661,0.6878802180290222,0.8957992196083069
8,0.8241924047470093,0.4566234052181244,0.8058268427848816,0.6958035230636597,0.8988649249076843
9,0.8259531259536743,0.4421200454235077,0.8061851859092712,0.7015195488929749,0.9016306400299072
10,0.8281144499778748,0.4297005534172058,0.806972861289978,0.7080279588699341,0.9036768674850464
11,0.8312352299690247,0.41743484139442444,0.8103647828102112,0.7141684889793396,0.90682452917099
12,0.8324793577194214,0.40829575061798096,0.8098515272140503,0.7192620038986206,0.9082111716270447
13,0.8336917757987976,0.4003039300441742,0.8117928504943848,0.7207334637641907,0.9097316861152649
14,0.8346723318099976,0.3933565616607666,0.8117546439170837,0.7242140173912048,0.9109169244766235
15,0.8373713493347168,0.3872782289981842,0.8150749802589417,0.7288830876350403,0.9122108817100525
16,0.8356950283050537,0.38193580508232117,0.8122135400772095,0.7271286845207214,0.9131750464439392
17,0.8379828929901123,0.37669703364372253,0.8154934644699097,0.730411171913147,0.9146986603736877
18,0.8384362459182739,0.372299462556839,0.8150876760482788,0.7325617671012878,0.9158707857131958
19,0.8396487236022949,0.368515282869339,0.8155766129493713,0.7360706329345703,0.9165717363357544
20,0.8400915265083313,0.36628028750419617,0.815680742263794,0.7374572157859802,0.9173083305358887
21,0.841050922870636,0.36358898878097534,0.8152793049812317,0.7413622140884399,0.9180532097816467
22,0.8416519165039062,0.36033064126968384,0.8171629905700684,0.7407397031784058,0.9192166924476624
23,0.8437394499778748,0.35771337151527405,0.8192171454429626,0.7450125813484192,0.9199511408805847
24,0.8424742817878723,0.3572311997413635,0.8192175030708313,0.7406548261642456,0.9202092885971069
25,0.8438975811004639,0.3552994132041931,0.821702778339386,0.7420413494110107,0.920738697052002
26,0.8440452218055725,0.3535786271095276,0.8193602561950684,0.7458615303039551,0.9214882850646973
