epoch,accuracy,loss,precision,recall,roc_auc
1,0.7367050647735596,0.7103623747825623,0.645475447177887,0.6507541537284851,0.8051234483718872
2,0.7987727522850037,0.5808917880058289,0.7684227824211121,0.6583095192909241,0.8710243105888367
3,0.80800861120224,0.5399045348167419,0.7838276624679565,0.6692888736724854,0.885839581489563
4,0.8159897923469543,0.5119742155075073,0.7940228581428528,0.6834092736244202,0.8938542008399963
5,0.8201965093612671,0.4873090386390686,0.7969983220100403,0.6942471265792847,0.899685800075531
6,0.8251412510871887,0.4658961296081543,0.8025424480438232,0.7038682699203491,0.9046473503112793
7,0.8270179629325867,0.4486103057861328,0.8017917275428772,0.711650013923645,0.9074112176895142
8,0.8312668800354004,0.43363428115844727,0.8083043694496155,0.7172245979309082,0.9101038575172424
9,0.8349885940551758,0.41901886463165283,0.8106734752655029,0.7268739938735962,0.9128243327140808
10,0.8346828818321228,0.4078579246997833,0.8083377480506897,0.7291944026947021,0.9143217206001282
11,0.8364330530166626,0.3972145617008209,0.8110780119895935,0.731344997882843,0.9165362119674683
12,0.8384783864021301,0.38804295659065247,0.8128262162208557,0.7359574437141418,0.9178035259246826
13,0.8402813076972961,0.37855952978134155,0.8156265616416931,0.7381929159164429,0.9200462102890015
14,0.8402707576751709,0.37510478496551514,0.8129980564117432,0.7419564723968506,0.9199169278144836
15,0.8433282971382141,0.36833512783050537,0.8159657120704651,0.7482668161392212,0.9214995503425598
16,0.8450468182563782,0.36193329095840454,0.8175301551818848,0.751945436000824,0.9231587648391724
17,0.8470394611358643,0.3574422299861908,0.8211984038352966,0.7535300850868225,0.9243132472038269
18,0.8466915488243103,0.3538707196712494,0.8200086355209351,0.754039466381073,0.9251155853271484
19,0.8479989171028137,0.349767804145813,0.8205748796463013,0.7577180862426758,0.9262986779212952
20,0.8479461669921875,0.3473607897758484,0.8211971521377563,0.7566428184509277,0.9267995357513428
21,0.849727988243103,0.344151109457016,0.8205728530883789,0.7636605501174927,0.9279398322105408
22,0.8495593070983887,0.34269315004348755,0.8213458061218262,0.7619627118110657,0.9281629323959351
23,0.8490954041481018,0.34167370200157166,0.8195829391479492,0.7629247903823853,0.9281829595565796
24,0.8501391410827637,0.33909544348716736,0.822509229183197,0.7622739672660828,0.9292662739753723
25,0.8501391410827637,0.33816710114479065,0.8211560249328613,0.764226496219635,0.9295149445533752
26,0.8528276681900024,0.33557888865470886,0.824234127998352,0.7689804434776306,0.9305593371391296
27,0.8526695370674133,0.33501529693603516,0.8238593339920044,0.7689804434776306,0.9307497143745422
28,0.8519737124443054,0.3330760896205902,0.8230547308921814,0.7677636742591858,0.9313650131225586
29,0.8533126711845398,0.3319307267665863,0.8233820199966431,0.7718667984008789,0.9318628311157227
30,0.8535130023956299,0.3305360972881317,0.8243836164474487,0.7711027264595032,0.9323261380195618
31,0.8543248176574707,0.3298473060131073,0.8244196772575378,0.7738192677497864,0.9327604174613953
32,0.8544197082519531,0.32960402965545654,0.8245455622673035,0.7739607691764832,0.9326558113098145
33,0.8560327887535095,0.32738566398620605,0.8257616758346558,0.7776960134506226,0.9338198900222778
34,0.8549468517303467,0.32710275053977966,0.824985682964325,0.7751209735870361,0.933722198009491
35,0.8556532263755798,0.32730618119239807,0.8254555463790894,0.7768471240997314,0.9336792230606079
36,0.8554002046585083,0.32642823457717896,0.8250165581703186,0.7766207456588745,0.9339929223060608
37,0.8562542200088501,0.32477298378944397,0.8248376250267029,0.7797900438308716,0.9348856806755066
38,0.8573718070983887,0.3239818513393402,0.827089786529541,0.7803276777267456,0.9352536201477051
39,0.8573929071426392,0.3224320411682129,0.8271001577377319,0.7803843021392822,0.9357861280441284
40,0.8567075729370117,0.3242548704147339,0.8267624378204346,0.7785449624061584,0.935023307800293
41,0.8570449352264404,0.32282042503356934,0.8268699645996094,0.7795353531837463,0.9355595111846924
42,0.8584999442100525,0.32225680351257324,0.8297923803329468,0.7802711129188538,0.9360308647155762
43,0.8577408194541931,0.3215058445930481,0.8284322619438171,0.7796485424041748,0.9361695051193237
44,0.8585631847381592,0.32035112380981445,0.8282036185264587,0.78276127576828,0.936867356300354
45,0.8585420846939087,0.32105347514152527,0.8294559717178345,0.7808936238288879,0.936351478099823
46,0.8585526347160339,0.3208574652671814,0.8280413150787354,0.7829593420028687,0.9367002248764038
47,0.8591325283050537,0.32015088200569153,0.8285791277885437,0.7841477990150452,0.9368502497673035
48,0.8587213158607483,0.31964433193206787,0.8287332653999329,0.7825348973274231,0.9370535016059875
49,0.859332799911499,0.3199672996997833,0.830295205116272,0.782365083694458,0.9371337294578552
50,0.8590376377105713,0.3188888132572174,0.827358067035675,0.7855910062789917,0.9375688433647156
51,0.8598600029945374,0.318208783864975,0.8297585844993591,0.7849118709564209,0.9376778602600098
52,0.8602817058563232,0.318410724401474,0.8288028240203857,0.7877132892608643,0.9377734065055847
53,0.8604820370674133,0.3185513913631439,0.8311660885810852,0.784996747970581,0.9377279877662659
54,0.859606921672821,0.3185831904411316,0.8285151720046997,0.7858456373214722,0.9377227425575256
55,0.8610619306564331,0.3166724145412445,0.8305342793464661,0.787854790687561,0.9385156631469727
56,0.860039234161377,0.3182705342769623,0.8308144211769104,0.7840063571929932,0.9378072023391724
57,0.8615574240684509,0.3165568709373474,0.8323555588722229,0.786920964717865,0.9386376738548279
58,0.8600603342056274,0.31679901480674744,0.8285586833953857,0.787317156791687,0.9383593797683716
59,0.8609564900398254,0.31717002391815186,0.8302865624427795,0.787854790687561,0.9383241534233093
60,0.8609775900840759,0.3166039288043976,0.8300801515579224,0.7882226705551147,0.9385550618171692
61,0.8607772588729858,0.31672999262809753,0.8291007280349731,0.7889583706855774,0.9384409785270691
62,0.8609037399291992,0.31603410840034485,0.8302612900733948,0.7877132892608643,0.9388321042060852
63,0.8620424270629883,0.31490132212638855,0.8313974142074585,0.7899205088615417,0.9393897652626038
64,0.8623165488243103,0.3142002820968628,0.8304657340049744,0.7921842932701111,0.9397002458572388
65,0.8612622022628784,0.31522470712661743,0.8297650814056396,0.7896375060081482,0.9391800165176392
66,0.8623270988464355,0.31447675824165344,0.834539532661438,0.7864116430282593,0.9396173357963562
67,0.862348198890686,0.31429409980773926,0.832770824432373,0.7889866828918457,0.9397493600845337
68,0.862421989440918,0.31406283378601074,0.8318741917610168,0.7905147075653076,0.9396637678146362
69,0.8626433610916138,0.31379303336143494,0.8330696225166321,0.789552628993988,0.9399707913398743
70,0.8623270988464355,0.3145693838596344,0.8317698836326599,0.7903449535369873,0.9397003650665283
71,0.8626223206520081,0.31280335783958435,0.8321669697761536,0.7907693982124329,0.9403902888298035
72,0.8611251711845398,0.31427353620529175,0.8296208381652832,0.789382815361023,0.9397163391113281
73,0.8630018830299377,0.3129602372646332,0.8321688771247864,0.7920427918434143,0.9405004978179932
74,0.8626750111579895,0.31309711933135986,0.831816554069519,0.7914485335350037,0.940462052822113
75,0.863634467124939,0.3128747045993805,0.8346327543258667,0.7906562089920044,0.9404074549674988
76,0.863044023513794,0.3127436935901642,0.8326041102409363,0.7915617227554321,0.9408204555511475
77,0.8622322082519531,0.3141898214817047,0.8320214748382568,0.7896658182144165,0.9399251341819763
78,0.8640983700752258,0.31146541237831116,0.8345105051994324,0.7923823595046997,0.9411269426345825
79,0.8628436923027039,0.31344568729400635,0.8330847024917603,0.7902034521102905,0.9403260350227356
80,0.86386638879776,0.3132791519165039,0.8339239358901978,0.7924389243125916,0.9402945637702942
81,0.8638558387756348,0.3118419647216797,0.8332639932632446,0.7933444380760193,0.9409387111663818
82,0.8635290265083313,0.31163281202316284,0.8334872126579285,0.7919296026229858,0.9412438869476318
83,0.8634130358695984,0.31202173233032227,0.8324027061462402,0.7930898070335388,0.9410111904144287
84,0.8631811141967773,0.3120749592781067,0.8324314951896667,0.7922691702842712,0.9409067034721375
85,0.8641616106033325,0.3112027049064636,0.834002673625946,0.7933161854743958,0.9414166808128357
86,0.864182710647583,0.31227436661720276,0.8331997990608215,0.7945329546928406,0.9409071803092957
87,0.8633286952972412,0.31169596314430237,0.833910346031189,0.7906562089920044,0.9410111904144287
88,0.8647730946540833,0.3113163113594055,0.8351844549179077,0.7936840057373047,0.941348135471344
89,0.8642881512641907,0.31022199988365173,0.8336848616600037,0.7941933870315552,0.9416572451591492
90,0.8636555075645447,0.311271995306015,0.8319457173347473,0.7945612668991089,0.9415335059165955
91,0.8648785352706909,0.311285138130188,0.8354532122612,0.7936557531356812,0.9414941668510437
92,0.864414632320404,0.3103043735027313,0.8328545689582825,0.795806348323822,0.9419302940368652
93,0.8646360635757446,0.3109305500984192,0.8345426321029663,0.7941367626190186,0.9416121244430542
94,0.8647941946983337,0.3099733293056488,0.8345965147018433,0.7945895195007324,0.9419286251068115
95,0.865975022315979,0.3089950382709503,0.8363409638404846,0.7960609793663025,0.9424894452095032
96,0.8650577664375305,0.31093278527259827,0.8375059962272644,0.7913636565208435,0.9416058659553528
97,0.8652369976043701,0.31009823083877563,0.8339502215385437,0.7969948053359985,0.9421072006225586
98,0.8640456199645996,0.3111136257648468,0.8344659209251404,0.7922691702842712,0.9414801597595215
99,0.8641510605812073,0.31174856424331665,0.8345152139663696,0.79255211353302,0.9413248300552368
100,0.8643302917480469,0.310903936624527,0.8349581360816956,0.7925238609313965,0.9416842460632324
101,0.8633919358253479,0.31110143661499023,0.8320968747138977,0.7934576272964478,0.9414534568786621
102,0.8662596940994263,0.3094947040081024,0.8372737169265747,0.7956931591033936,0.942334771156311
103,0.8647836446762085,0.3091554343700409,0.8353092074394226,0.7935425639152527,0.9423221349716187
104,0.865352988243103,0.30964282155036926,0.8369364142417908,0.7931463718414307,0.9420080780982971
105,0.8655005693435669,0.3106382191181183,0.8336978554725647,0.7982398867607117,0.9418408870697021
106,0.8657957911491394,0.3096413016319275,0.8355395793914795,0.7965986728668213,0.9422231912612915
107,0.8649628758430481,0.3102082312107086,0.8348541855812073,0.7947876453399658,0.9420976042747498
