status,run_key,model_key,source,units,optimizer,learning_rate,dropout,l2,batch_size,batch_norm,seed,epochs_run,best_epoch,training_seconds,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,error
ok,256-128-64|Adam|lr=0.0005|dropout=0.3|l2=0.0001|batch=512|bn=True|seed=123,256-128-64|Adam|lr=0.0005|dropout=0.3|l2=0.0001|batch=512|bn=True,Broad Search,256-128-64,Adam,0.0005,0.3,0.0001,512,True,123,95,83,120.8097381000407,0.8579335793357934,0.803049203049203,0.8197509903791738,0.8113141496884408,0.9380196061173798,
ok,256-128-64|Adam|lr=0.0005|dropout=0.4|l2=1e-05|batch=256|bn=True|seed=7,256-128-64|Adam|lr=0.0005|dropout=0.4|l2=1e-05|batch=256|bn=True,Broad Search,256-128-64,Adam,0.0005,0.4,1e-05,256,True,7,140,128,263.8696372001432,0.8597258829731155,0.8081387218570829,0.8176287492925863,0.8128560376960405,0.9381097356861835,
ok,256-128-64|Adam|lr=0.0005|dropout=0.4|l2=1e-05|batch=256|bn=True|seed=21,256-128-64|Adam|lr=0.0005|dropout=0.4|l2=1e-05|batch=256|bn=True,Broad Search,256-128-64,Adam,0.0005,0.4,1e-05,256,True,21,86,74,169.09963770001195,0.8562994201370585,0.7969904240766074,0.8242784380305602,0.8104047850883294,0.9372953005572675,
ok,256-128-64|Adam|lr=0.0005|dropout=0.4|l2=1e-05|batch=256|bn=True|seed=42,256-128-64|Adam|lr=0.0005|dropout=0.4|l2=1e-05|batch=256|bn=True,Broad Search,256-128-64,Adam,0.0005,0.4,1e-05,256,True,42,105,93,200.59795780014247,0.8571955719557196,0.8064107971320118,0.8115449915110357,0.808969748254707,0.9375421761685723,
ok,256-128-64|Adam|lr=0.0005|dropout=0.4|l2=1e-05|batch=256|bn=True|seed=84,256-128-64|Adam|lr=0.0005|dropout=0.4|l2=1e-05|batch=256|bn=True,Broad Search,256-128-64,Adam,0.0005,0.4,1e-05,256,True,84,108,96,207.16128910006955,0.8564575645756457,0.7948161215904465,0.8286644029428409,0.8113874073560989,0.9372536236556287,
ok,256-128-64|Adam|lr=0.0005|dropout=0.4|l2=1e-05|batch=256|bn=True|seed=123,256-128-64|Adam|lr=0.0005|dropout=0.4|l2=1e-05|batch=256|bn=True,Broad Search,256-128-64,Adam,0.0005,0.4,1e-05,256,True,123,99,87,195.3861494997982,0.8577754348972061,0.8133065672497849,0.8024900962082626,0.8078621279020083,0.9372039822576699,
ok,256-128-64|AdamW|lr=0.001|dropout=0.3|l2=1e-05|batch=512|bn=False|seed=7,256-128-64|AdamW|lr=0.001|dropout=0.3|l2=1e-05|batch=512|bn=False,Focused Search,256-128-64,AdamW,0.001,0.3,1e-05,512,False,7,71,59,70.32270089979284,0.8576700052714813,0.8139735480161012,0.8010752688172043,0.8074729035938392,0.9368066608770722,
ok,256-128-64|AdamW|lr=0.001|dropout=0.3|l2=1e-05|batch=512|bn=False|seed=21,256-128-64|AdamW|lr=0.001|dropout=0.3|l2=1e-05|batch=512|bn=False,Focused Search,256-128-64,AdamW,0.001,0.3,1e-05,512,False,21,94,82,92.20650060009211,0.8597258829731155,0.8160045891294995,0.8050367855121675,0.8104835837903284,0.9372816360967902,
ok,256-128-64|AdamW|lr=0.001|dropout=0.3|l2=1e-05|batch=512|bn=False|seed=42,256-128-64|AdamW|lr=0.001|dropout=0.3|l2=1e-05|batch=512|bn=False,Focused Search,256-128-64,AdamW,0.001,0.3,1e-05,512,False,42,67,55,67.37660999991931,0.8579335793357934,0.8227306273062731,0.7886247877758913,0.8053167665968359,0.9376639081455354,
ok,256-128-64|AdamW|lr=0.001|dropout=0.3|l2=1e-05|batch=512|bn=False|seed=84,256-128-64|AdamW|lr=0.001|dropout=0.3|l2=1e-05|batch=512|bn=False,Focused Search,256-128-64,AdamW,0.001,0.3,1e-05,512,False,84,78,66,76.42346849991009,0.8577227200843437,0.8122944960686205,0.8039049235993209,0.8080779350067553,0.9371175496416357,
ok,256-128-64|AdamW|lr=0.001|dropout=0.3|l2=1e-05|batch=512|bn=False|seed=123,256-128-64|AdamW|lr=0.001|dropout=0.3|l2=1e-05|batch=512|bn=False,Focused Search,256-128-64,AdamW,0.001,0.3,1e-05,512,False,123,68,56,67.99425509991124,0.8576172904586189,0.8242982325857716,0.7852292020373515,0.8042895442359249,0.9366661647845255,
ok,256-128-64|Adam|lr=0.0005|dropout=0.4|l2=0.0005|batch=512|bn=True|seed=7,256-128-64|Adam|lr=0.0005|dropout=0.4|l2=0.0005|batch=512|bn=True,Broad Search,256-128-64,Adam,0.0005,0.4,0.0005,512,True,7,150,150,197.82053839997388,0.8608856088560886,0.8103714085494044,0.8180531975099038,0.8141941843272548,0.9381071323657444,
ok,256-128-64|Adam|lr=0.0005|dropout=0.4|l2=0.0005|batch=512|bn=True|seed=21,256-128-64|Adam|lr=0.0005|dropout=0.4|l2=0.0005|batch=512|bn=True,Broad Search,256-128-64,Adam,0.0005,0.4,0.0005,512,True,21,119,107,158.9645119998604,0.8597258829731155,0.8099592066394711,0.8146576117713639,0.812301615292375,0.9389503169489142,
ok,256-128-64|Adam|lr=0.0005|dropout=0.4|l2=0.0005|batch=512|bn=True|seed=42,256-128-64|Adam|lr=0.0005|dropout=0.4|l2=0.0005|batch=512|bn=True,Broad Search,256-128-64,Adam,0.0005,0.4,0.0005,512,True,42,99,87,134.60234530013986,0.8598313125988403,0.8219658244486636,0.7962648556876061,0.8089112468559109,0.9380721896240539,
ok,256-128-64|Adam|lr=0.0005|dropout=0.4|l2=0.0005|batch=512|bn=True|seed=84,256-128-64|Adam|lr=0.0005|dropout=0.4|l2=0.0005|batch=512|bn=True,Broad Search,256-128-64,Adam,0.0005,0.4,0.0005,512,True,84,119,107,160.17333799996413,0.857880864522931,0.800687757909216,0.8235710243350312,0.8119681964011717,0.9380453361954167,
ok,256-128-64|Adam|lr=0.0005|dropout=0.4|l2=0.0005|batch=512|bn=True|seed=123,256-128-64|Adam|lr=0.0005|dropout=0.4|l2=0.0005|batch=512|bn=True,Broad Search,256-128-64,Adam,0.0005,0.4,0.0005,512,True,123,113,101,149.88511330005713,0.8603584607274645,0.8161396480183145,0.8070175438596491,0.8115529629366152,0.9384099139862927,
ok,256-128-64|Adam|lr=0.001|dropout=0.4|l2=0.0001|batch=512|bn=False|seed=7,256-128-64|Adam|lr=0.001|dropout=0.4|l2=0.0001|batch=512|bn=False,Broad Search,256-128-64,Adam,0.001,0.4,0.0001,512,False,7,79,67,73.92586779990233,0.8599367422245651,0.8291299805999105,0.7860780984719864,0.8070302854237781,0.9371903653464242,
ok,256-128-64|Adam|lr=0.001|dropout=0.4|l2=0.0001|batch=512|bn=False|seed=21,256-128-64|Adam|lr=0.001|dropout=0.4|l2=0.0001|batch=512|bn=False,Broad Search,256-128-64,Adam,0.001,0.4,0.0001,512,False,21,87,75,84.59147570002824,0.8608328940432262,0.8300536672629696,0.7877758913412564,0.8083623693379791,0.937074446263044,
ok,256-128-64|Adam|lr=0.001|dropout=0.4|l2=0.0001|batch=512|bn=False|seed=42,256-128-64|Adam|lr=0.001|dropout=0.4|l2=0.0001|batch=512|bn=False,Broad Search,256-128-64,Adam,0.001,0.4,0.0001,512,False,42,114,102,109.09340929985046,0.8602530311017396,0.8283038501560874,0.7883418222976797,0.8078289235230156,0.9378063894185082,
ok,256-128-64|Adam|lr=0.001|dropout=0.4|l2=0.0001|batch=512|bn=False|seed=84,256-128-64|Adam|lr=0.001|dropout=0.4|l2=0.0001|batch=512|bn=False,Broad Search,256-128-64,Adam,0.001,0.4,0.0001,512,False,84,94,82,87.5301200998947,0.8592514496573537,0.8297840431913617,0.7828239954725523,0.8056202679091439,0.9370214704752079,
ok,256-128-64|Adam|lr=0.001|dropout=0.4|l2=0.0001|batch=512|bn=False|seed=123,256-128-64|Adam|lr=0.001|dropout=0.4|l2=0.0001|batch=512|bn=False,Broad Search,256-128-64,Adam,0.001,0.4,0.0001,512,False,123,92,80,86.56876230007038,0.861201897733263,0.8350203958301858,0.7819750990379174,0.8076276758968364,0.9370727226033926,
ok,256-128-64|Adam|lr=0.001|dropout=0.4|l2=0.0|batch=512|bn=False|seed=7,256-128-64|Adam|lr=0.001|dropout=0.4|l2=0.0|batch=512|bn=False,Broad Search,256-128-64,Adam,0.001,0.4,0.0,512,False,7,85,73,80.9843427001033,0.8598840274117027,0.8218038528896673,0.7966893039049237,0.809051724137931,0.937224089639051,
ok,256-128-64|Adam|lr=0.001|dropout=0.4|l2=0.0|batch=512|bn=False|seed=21,256-128-64|Adam|lr=0.001|dropout=0.4|l2=0.0|batch=512|bn=False,Broad Search,256-128-64,Adam,0.001,0.4,0.0,512,False,21,92,80,87.23372580017895,0.8605693199789141,0.8183388513027205,0.8043293718166383,0.8112736353906529,0.9371775924340423,
ok,256-128-64|Adam|lr=0.001|dropout=0.4|l2=0.0|batch=512|bn=False|seed=42,256-128-64|Adam|lr=0.001|dropout=0.4|l2=0.0|batch=512|bn=False,Broad Search,256-128-64,Adam,0.001,0.4,0.0,512,False,42,81,69,76.74275059998035,0.86004217185029,0.8287885561019223,0.7869269949066214,0.8073154800783802,0.9375380096671394,
ok,256-128-64|Adam|lr=0.001|dropout=0.4|l2=0.0|batch=512|bn=False|seed=84,256-128-64|Adam|lr=0.001|dropout=0.4|l2=0.0|batch=512|bn=False,Broad Search,256-128-64,Adam,0.001,0.4,0.0,512,False,84,100,88,93.88849319983274,0.8579335793357934,0.8083486109152447,0.8109790605546123,0.8096616992725475,0.9364196279614969,
ok,256-128-64|Adam|lr=0.001|dropout=0.4|l2=0.0|batch=512|bn=False|seed=123,256-128-64|Adam|lr=0.001|dropout=0.4|l2=0.0|batch=512|bn=False,Broad Search,256-128-64,Adam,0.001,0.4,0.0,512,False,123,77,65,73.25118170003407,0.8591460200316289,0.8289434301107453,0.7836728919071874,0.8056727272727273,0.9369839125257704,
ok,256-128-64|Nadam|lr=0.001|dropout=0.3|l2=1e-05|batch=512|bn=False|seed=7,256-128-64|Nadam|lr=0.001|dropout=0.3|l2=1e-05|batch=512|bn=False,Focused Search,256-128-64,Nadam,0.001,0.3,1e-05,512,False,7,68,56,66.76707140007056,0.8595677385345282,0.8139435414884517,0.8077249575551783,0.8108223263740946,0.9372182945764301,
ok,256-128-64|Nadam|lr=0.001|dropout=0.3|l2=1e-05|batch=512|bn=False|seed=21,256-128-64|Nadam|lr=0.001|dropout=0.3|l2=1e-05|batch=512|bn=False,Focused Search,256-128-64,Nadam,0.001,0.3,1e-05,512,False,21,67,55,65.08873289986514,0.8593568792830786,0.8199534613147179,0.7976796830786644,0.8086632243258749,0.9372435551058031,
ok,256-128-64|Nadam|lr=0.001|dropout=0.3|l2=1e-05|batch=512|bn=False|seed=42,256-128-64|Nadam|lr=0.001|dropout=0.3|l2=1e-05|batch=512|bn=False,Focused Search,256-128-64,Nadam,0.001,0.3,1e-05,512,False,42,56,44,57.75101640005596,0.8614654717975752,0.8286941071957359,0.7918788907753254,0.8098683258573289,0.9374708998701621,
ok,256-128-64|Nadam|lr=0.001|dropout=0.3|l2=1e-05|batch=512|bn=False|seed=84,256-128-64|Nadam|lr=0.001|dropout=0.3|l2=1e-05|batch=512|bn=False,Focused Search,256-128-64,Nadam,0.001,0.3,1e-05,512,False,84,89,77,87.01305900001898,0.8613600421718502,0.8180905963302753,0.8074419920769667,0.812731415551125,0.9374550005957919,
ok,256-128-64|Nadam|lr=0.001|dropout=0.3|l2=1e-05|batch=512|bn=False|seed=123,256-128-64|Nadam|lr=0.001|dropout=0.3|l2=1e-05|batch=512|bn=False,Focused Search,256-128-64,Nadam,0.001,0.3,1e-05,512,False,123,78,66,76.92592220008373,0.8600948866631524,0.8273509344408188,0.7891907187323146,0.8078204199855178,0.9373812814556,
ok,384-192-96|RMSprop|lr=0.0005|dropout=0.3|l2=1e-05|batch=512|bn=False|seed=7,384-192-96|RMSprop|lr=0.0005|dropout=0.3|l2=1e-05|batch=512|bn=False,Focused Search,384-192-96,RMSprop,0.0005,0.3,1e-05,512,False,7,80,68,94.81605429993942,0.8585134422772799,0.8212192262602579,0.7928692699490663,0.8067952778577598,0.9370418750392875,
ok,384-192-96|RMSprop|lr=0.0005|dropout=0.3|l2=1e-05|batch=512|bn=False|seed=21,384-192-96|RMSprop|lr=0.0005|dropout=0.3|l2=1e-05|batch=512|bn=False,Focused Search,384-192-96,RMSprop,0.0005,0.3,1e-05,512,False,21,116,104,137.3130732998252,0.8568265682656827,0.8155452436194895,0.7956989247311828,0.8054998567745631,0.9371817827100912,
ok,384-192-96|RMSprop|lr=0.0005|dropout=0.3|l2=1e-05|batch=512|bn=False|seed=42,384-192-96|RMSprop|lr=0.0005|dropout=0.3|l2=1e-05|batch=512|bn=False,Focused Search,384-192-96,RMSprop,0.0005,0.3,1e-05,512,False,42,111,99,130.92121489997953,0.8613073273589879,0.8295944139058089,0.7900396151669496,0.8093340097108486,0.9374488548575868,
ok,384-192-96|RMSprop|lr=0.0005|dropout=0.3|l2=1e-05|batch=512|bn=False|seed=84,384-192-96|RMSprop|lr=0.0005|dropout=0.3|l2=1e-05|batch=512|bn=False,Focused Search,384-192-96,RMSprop,0.0005,0.3,1e-05,512,False,84,108,96,126.40513109997846,0.8605166051660517,0.8293118856121537,0.7877758913412564,0.8080104484109708,0.9375738439569253,
ok,384-192-96|RMSprop|lr=0.0005|dropout=0.3|l2=1e-05|batch=512|bn=False|seed=123,384-192-96|RMSprop|lr=0.0005|dropout=0.3|l2=1e-05|batch=512|bn=False,Focused Search,384-192-96,RMSprop,0.0005,0.3,1e-05,512,False,123,74,62,87.90463300002739,0.8571955719557196,0.8136422506835516,0.7999434069043577,0.806734679317971,0.9366235131236356,
